N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.25,1,6,4,2.875,11.375,3.125,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,19.0,7.625,23.3125,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,3.25,7.75,4.0625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,6.5,10.0,7.4375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,12.875,4.75,12.0,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,10.875,6.875,12.4375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,19.0,11.25,14.3125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,15.75,10.0,18.0625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,10.875,8.75,9.25,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,6,4,4.125,11.625,6.25,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,15.875,7.25,14.0,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,4,5.875,9.25,3.75,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,4,9.375,14.5,9.625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,4,11.875,7.375,14.5625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,4,12.375,12.75,8.3125,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,14.75,9.0,24.625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,19.875,8.5,17.875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,4.125,10.375,2.5625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,4,22.25,10.0,16.125,4.0,2.5,4.0
1,5,4,4,4,4,0.25,1,5,5,18.375,8.375,17.5,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,13.25,10.875,12.9375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,22.375,4.875,20.3125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,21.875,9.875,17.6875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,13.5,9.5,16.125,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,15.875,5.625,16.375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,15.5,8.0,16.0625,4.0,2.25,4.0
1,5,4,4,4,4,0.25,1,5,5,9.625,13.25,7.0625,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,12.875,5.375,15.25,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,18.125,4.25,16.0,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,2.5,4.25,4.25,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,17.875,8.75,10.875,4.0,2.5,4.0
1,5,4,4,4,4,0.25,1,5,4,11.625,11.625,11.5625,4.0,1.0,4.0
1,5,4,4,4,4,0.25,1,5,5,12.25,5.125,9.4375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,10.875,9.5,11.8125,4.0,1.0,4.0
1,5,4,4,4,4,0.25,1,5,5,20.125,8.625,20.0625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,7.75,9.625,7.625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,1,5,5,11.875,8.375,16.625,4.0,1.0,4.0
1,5,4,4,4,4,0.25,1,5,4,14.875,13.375,12.4375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,1,5,5,20.25,7.875,15.0,4.0,1.5,4.0
1,5,4,4,4,4,0.25,1,5,5,11.25,5.375,10.9375,4.0,2.0,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.0625,4.3125,4.65625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.125,5.6875,4.234375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,4.40625,7.25,5.578125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,4.375,6.59375,3.4375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,8.1875,5.4375,7.890625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,3.0625,5.8125,3.1875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,5.03125,6.5625,4.328125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.1875,6.65625,4.046875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.09375,4.9375,4.484375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,3.75,6.59375,5.015625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.5625,5.875,5.296875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.84375,6.65625,5.21875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,4.625,5.75,3.953125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.5,5.3125,2.875,4.0,1.0,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.75,6.1875,6.421875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,5.25,6.09375,4.546875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,4.875,4.96875,4.015625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,5,4.09375,6.125,4.3125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,4.59375,6.5,4.828125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.4375,5.46875,4.703125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.6875,5.96875,4.859375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,5,4.59375,6.59375,4.34375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,5.40625,6.53125,4.265625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,4.53125,6.5,4.3125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,4.625,6.4375,5.4375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,7.09375,5.40625,7.046875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,2.84375,5.8125,3.359375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,5.25,6.0625,7.109375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,6.21875,6.0,5.59375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.75,5.65625,3.890625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,3.1875,5.46875,3.15625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.1875,5.78125,5.28125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.5,5.0625,4.515625,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,6.25,6.71875,5.703125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,4,5.4375,4.65625,5.71875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,7.03125,5.03125,5.875,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,4.875,7.0,3.953125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.125,4.84375,4.9375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,6,4,2.59375,5.65625,3.125,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,5.625,4.625,5.34375,4.0,0.5,4.0
1,5,4,4,4,4,0.5,0.25,5,5,4.5,5.21875,4.1875,4.0,0.5,4.0
